stationCode,stationName,name,stationAddrtw,stationTel,gps,haveBike
6200,林榮新光,林榮新光,,03-8772677,23.80225 121.46205,Y
6210,豐田,豐田,,03-8654251,23.84842 121.49618,N
6220,壽豐,壽豐,,03-8653706,23.86901 121.51064,Y
6230,平和,平和,,03-8653706,23.88279 121.52045,N
6240,志學,志學,,03-8662966,23.90751 121.52947,Y
6250,吉安,吉安,,03-8539423,23.96817 121.58267,Y
7000,花蓮,花蓮,,03-8355941,23.99264 121.60158,Y
7010,北埔,北埔,,03-8263809,24.03253 121.60166,N
7020,景美,景美,,03-8611237,24.09039 121.61193,N
7030,新城,新城,,03-8611237,24.12754 121.64087,Y
7040,崇德,崇德,,03-8621365,24.17199 121.65536,Y
7050,和仁,和仁,,03-8681221,24.24219 121.71192,N
7060,和平,和平,,03-8681009,24.29831 121.75334,Y
7070,漢本,漢本,,03-9985238,24.33542 121.76829,N
7080,武塔,武塔,,03-9981971,24.44879 121.77601,N
7090,南澳,南澳,,03-9981971,24.46342 121.80103,Y
7100,東澳,東澳,,03-9986053,24.51827 121.83072,Y
7110,永樂,永樂,,03-9961889,24.56843 121.84458,N
7120,蘇澳,蘇澳,,03-9962028,24.59516 121.85143,Y
7130,蘇澳新,蘇澳新,,03-9961004,24.60852 121.82735,Y
7140,新馬,新馬,,03-9961004,24.61535 121.82292,N
7150,冬山,冬山,,03-9594221,24.63633 121.79211,Y
7160,羅東,羅東,,03-9542117,24.67795 121.77424,Y
7170,中里,中里,,03-9542117,24.69415 121.77526,N
7180,二結,二結,,03-9650304,24.70528 121.77409,N
7190,宜蘭,宜蘭,,03-9323801,24.75462 121.75791,Y
7200,四城,四城,,03-9282449,24.78681 121.76271,N
7210,礁溪,礁溪,,03-9886940,24.82703 121.77535,Y
7220,頂埔,頂埔,,03-9771429,24.84398 121.80917,N
7230,頭城,頭城,,03-9771429,24.85898 121.82253,Y
7240,外澳,外澳,,03-9771429,24.88367 121.84581,N
7250,龜山,龜山,,03-9770351,24.90486 121.86891,N
7260,大溪,大溪,,03-9771429,24.93834 121.88991,N
7270,大里,大里,,03-9781171,24.96688 121.92257,N
7280,石城,石城,,03-9771429,24.97832 121.94507,N
7290,福隆,福隆,,02-24991800,25.01595 121.94471,Y
7300,貢寮,貢寮,,02-24941500,25.02209 121.90868,Y
7310,雙溪,雙溪,,02-24932980,25.03867 121.86648,Y
7320,牡丹,牡丹,,02-24932980,25.05873 121.85194,N
7330,三貂嶺,三貂嶺,,02-24977896,25.06561 121.82258,N
7331,大華,大華,,02-24972033,25.04993 121.79751,N
7332,十分,十分,,02-24958307,25.04111 121.77514,N
7333,望古,望古,,02-24972033,25.03445 121.76349,N
7334,嶺腳,嶺腳,,02-24972033,25.03021 121.74794,N
7335,平溪,平溪,,02-24972033,25.02552 121.73994,N
7336,菁桐,菁桐,,02-24972033,25.02384 121.72394,N
7350,猴硐,猴硐,,02-24977747,25.08711 121.82741,Y
7360,瑞芳,瑞芳,,02-24972033,25.10861 121.80596,Y
7361,海科館,海科館,,02-24972033,25.13754 121.79997,N
7362,八斗子,八斗子,,02-24972033,25.13545 121.80261,N
7380,四腳亭,四腳亭,,02-24579346,25.10283 121.76192,N
7390,暖暖,暖暖,,02-24972033,25.10224 121.74048,N
